question,opt1,opt2,opt3,opt4,answerIndex,explanation
In which year was the International Astronomical Union formed?,1900,1910,1919,1922,C,IAU was formed in 1919.
The highest plateau in the world is?,Colorado,Deccan,Tibetan,Columbia,C,Tibetan Plateau is the highest.
The largest coral reef is?,Great Barrier Reef,Red sea reef,Florida reef,Andaman reef,A,Great Barrier Reef is largest.
The outermost layer of the Sun is called?,Core,Mantle,Corona,Crust,C,The corona is the outermost layer of the Sun.
Which is not a planet?,Venus,Mercury,Pluto,Earth,C,Pluto is now a dwarf planet.
Which layer of Earth do we live on?,Core,Mantle,Crust,Outer core,C,Humans live on the crust.
Soil erosion can be prevented by?,Overgrazing,Afforestation,Deforestation,Construction,B,Afforestation prevents soil erosion.
Where is the Sunderbans delta located?,Assam,West Bengal,Odisha,Andhra Pradesh,B,Sunderbans are in West Bengal.
The longest river in the world is?,Amazon,Yangtze,Nile,Ganga,C,Nile is the world’s longest river.
Which is a dwarf planet?,Venus,Pluto,Jupiter,Neptune,B,Pluto is classified as a dwarf planet.
Who is known as the father of Indian Geography?,Al-Biruni,Strabo,Ptolemy,Eratosthenes,A,Al-Biruni wrote about India’s geography.
Rain shadow region is caused by?,Cyclonic winds,Mountains,Sea,Forest,B,Mountains create rain shadow areas.
Olympus Mons is on which planet?,Mars,Earth,Venus,Saturn,A,Olympus Mons is the tallest volcano on Mars.
The earth is ___ from the sun?,1st,2nd,3rd,4th,C,Earth is the 3rd planet from Sun.
Which planet has the shortest day?,Venus,Jupiter,Earth,Neptune,B,"Jupiter rotates fastest, shortest day."
The largest country by area?,China,Russia,USA,Canada,B,Russia is largest by area.
Which state is known as the “Land of Rising Sun”?,Kerala,Assam,Arunachal Pradesh,Manipur,C,Arunachal Pradesh is land of rising sun.
Amount of water in human body:,10%,20%,60%,85%,C,About 60% of human body is water.
Who gave the theory of Continental Drift?,Newton,Wegener,Galileo,Copernicus,B,Alfred Wegener gave theory in 1912.
Who invented the barometer?,Newton,Galileo,Torricelli,Archimedes,C,Evangelista Torricelli invented the barometer.
Plate tectonics theory was given by?,Wegener,Newton,Einstein,Hubble,A,Alfred Wegener proposed it.
Who is called “father of geography”?,Newton,Eratosthenes,Plato,Columbus,B,Eratosthenes is called father of geography.
Which river forms the Sunderbans Delta?,Brahmaputra,Ganga,Yamuna,Godavari,B,Ganga forms the Sunderbans.
Earth’s axis is tilted at?,23.5°,45°,0°,90°,A,Earth’s tilt is 23.5 degrees.
ISRO’s mission to the Sun is?,Chandrayaan,Aditya-L1,Mangalyaan,Mars Orbiter,B,Aditya-L1 is India’s solar mission.
Which river originates from Amarkantak?,Godavari,Mahanadi,Narmada,Yamuna,C,Narmada originates from Amarkantak.
Mount Everest lies in which range?,Aravalli,Himalayas,Vindhya,Western Ghats,B,Mount Everest is in the Himalayas.
Atmospheric layer for weather phenomena?,Troposphere,Stratosphere,Mesosphere,Thermosphere,A,Weather events occur in Troposphere.
Which is called “evening star”?,Venus,Jupiter,Mars,Mercury,A,Venus is called the evening and morning star.
Total moons of Neptune:,5,12,14,16,C,Neptune has 14 known moons.
Deserts in India are called?,Great White,Cold Desert,Thar,Sahara,C,Thar Desert is in northwest India.
Which state in India receives maximum rainfall?,Kerala,Assam,West Bengal,Himachal Pradesh,A,"Mawsynram in Meghalaya is wettest but by area, Kerala leads."
First planet to be discovered using a telescope?,Pluto,Uranus,Neptune,Mars,B,Uranus was first discovered with a telescope.
The inner core of Earth is made largely of?,Iron and Nickel,Silicon,Oxygen,Carbon,A,Earth’s core has iron and nickel.
What is a seismograph used for?,Measuring rainfall,Measuring temperature,Measuring earthquakes,Measuring wind speed,C,Seismograph measures earthquake vibrations.
Which is the largest continent?,Africa,Asia,Europe,North America,B,Asia is the largest continent.
Which is not a terrestrial planet?,Mars,Venus,Jupiter,Earth,C,"Jupiter is a gas giant, not terrestrial."
The hottest planet in the solar system is?,Earth,Venus,Mercury,Mars,B,Venus is the hottest due to its thick CO2 atmosphere.
Saturn’s largest moon?,Io,Europa,Titan,Ganymede,C,Titan is Saturn’s largest moon.
Which of these is not an igneous rock?,Granite,Basalt,Limestone,Obsidian,C,Limestone is a sedimentary rock.
Who discovered Uranus?,Copernicus,Galileo,Herschel,Newton,C,William Herschel discovered Uranus.
Halley’s Comet reappears every?,56 years,75-76 years,100 years,33 years,B,Halley’s Comet comes every 75-76 years.
Which planet is closest to the Sun?,Earth,Venus,Mercury,Mars,C,Mercury is the closest planet to the Sun.
Which part of the sun is visible during an eclipse?,Corona,Core,Photosphere,Chromosphere,A,Corona is visible during solar eclipse.
What is the height of Mt Everest?,8848 m,7899 m,9000 m,8000 m,A,Mt Everest is 8848 meters high.
Longest river in South India is?,Krishna,Godavari,Cauvery,Mahanadi,B,Godavari is the longest river in South India.
Which country has the largest population?,USA,India,China,Russia,C,China has the biggest population.
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,D,Pacific Ocean is the largest.
The smallest ocean is?,Pacific,Atlantic,Arctic,Indian,C,Arctic Ocean is smallest.
What is the only planet known to support life?,Mars,Venus,Earth,Saturn,C,Earth sustains life.
Which planet is known as Earth’s twin?,Venus,Mars,Mercury,Jupiter,A,Venus is of similar size to Earth.
The Indian Standard Time is based on?,75.5°E,82.5°E,90°E,72.5°E,B,IST is according to 82.5°E Meridian.
Which planet rotates clockwise?,Venus,Earth,Mars,Jupiter,A,Venus rotates in a retrograde (clockwise) direction.
First artificial satellite?,Aryabhatta,Explorer 1,Sputnik 1,Voyager 1,C,Sputnik 1 was first artificial satellite.
Sagittarius A* is a?,Comet,Star,Black hole,Asteroid,C,Sagittarius A* is the Milky Way’s black hole.
Who wrote “Geographia”?,Plato,Strabo,Ptolemy,Aristotle,C,Ptolemy wrote Geographia.
